Adelomyia melanogenys,Aglaiocercus kingii,Chaetocercus heliodor,Chlorostilbon poortmani,Coeligena coeligena,Colibri coruscans,Colibri cyanotus,Doryfera ludovicae,Heliangelus amethysticollis,Heliodoxa jacula,Metallura tyrianthina,Ocreatus underwoodii,Phaetornis syrmatophorus,Uranomitra franciae
4,0,0,3,0,0,0,0,0,0,0,0,2,0
5,4,0,16,3,7,0,0,0,4,1,0,0,11
2,0,0,8,0,0,0,2,0,0,0,0,0,0
0,1,1,17,0,0,0,0,0,1,0,0,0,10
0,0,0,0,0,0,0,0,3,0,0,0,0,1
0,0,0,5,0,0,0,0,0,0,0,0,0,0
2,0,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,0,0,0,0
9,3,0,18,0,2,3,0,1,0,0,7,2,3
0,0,0,4,0,0,0,0,0,0,0,0,0,0
